,Year,World Population,Yearly Change,Net Change,Density (P/KmÂ²)
0,2024,8161972572,0.87 %,70237642.0,55.0
1,2023,8091734930,0.88 %,70327738.0,54.0
2,2022,8021407192,0.84 %,66958801.0,54.0
3,2021,7954448391,0.86 %,67447099.0,53.0
4,2020,7887001292,0.97 %,75707594.0,53.0
5,2019,7811293698,1.05 %,81390917.0,52.0
6,2018,7729902781,1.10 %,84284827.0,52.0
7,2017,7645617954,1.15 %,87063428.0,51.0
8,2016,7558554526,1.18 %,88062654.0,51.0
9,2015,7470491872,1.20 %,88875628.0,50.0
10,2014,7381616244,1.23 %,89822659.0,50.0
11,2013,7291793585,1.26 %,90591100.0,49.0
12,2012,7201202485,1.27 %,90278720.0,48.0
13,2011,7110923765,1.27 %,89191617.0,48.0
14,2010,7021732148,1.28 %,88965732.0,47.0
15,2009,6932766416,1.29 %,88308754.0,47.0
16,2008,6844457662,1.29 %,87148881.0,46.0
17,2007,6757308781,1.29 %,85856766.0,45.0
18,2006,6671452015,1.28 %,84481883.0,45.0
19,2005,6586970132,1.29 %,83592360.0,44.0
20,2004,6503377772,1.29 %,83016138.0,44.0
21,2003,6420361634,1.30 %,82631292.0,43.0
22,2002,6337730342,1.32 %,82793883.0,43.0
23,2001,6254936459,1.35 %,83233466.0,42.0
24,2000,6171702993,1.36 %,82696654.0,41.0
25,1999,6089006339,1.36 %,81939649.0,41.0
26,1998,6007066690,1.39 %,82278874.0,40.0
27,1997,5924787816,1.42 %,82732082.0,40.0
28,1996,5842055734,1.44 %,83176752.0,39.0
29,1995,5758878982,1.47 %,83327727.0,39.0
30,1994,5675551255,1.50 %,84006458.0,38.0
31,1993,5591544797,1.55 %,85554981.0,38.0
32,1992,5505989816,1.61 %,87253925.0,37.0
33,1991,5418735891,1.71 %,90932781.0,36.0
34,1990,5327803110,1.78 %,93371378.0,36.0
35,1989,5234431732,1.80 %,92439190.0,35.0
36,1988,5141992542,1.83 %,92246145.0,35.0
37,1987,5049746397,1.85 %,91673559.0,34.0
38,1986,4958072838,1.83 %,89129373.0,33.0
39,1985,4868943465,1.81 %,86767946.0,33.0
40,1984,4782175519,1.81 %,84847946.0,32.0
41,1983,4697327573,1.84 %,84654152.0,32.0
42,1982,4612673421,1.85 %,83896115.0,31.0
43,1981,4528777306,1.83 %,81171070.0,30.0
44,1980,4447606236,1.81 %,79066708.0,30.0
45,1979,4368539528,1.78 %,76442026.0,29.0
46,1978,4292097502,1.76 %,74233706.0,29.0
47,1977,4217863796,1.78 %,73617419.0,28.0
48,1976,4144246377,1.81 %,73511100.0,28.0
49,1975,4070735277,1.86 %,74319181.0,27.0
50,1974,3996416096,1.93 %,75611054.0,27.0
51,1973,3920805042,1.97 %,75887362.0,26.0
52,1972,3844917680,1.99 %,75069815.0,26.0
53,1971,3769847865,2.03 %,75164071.0,25.0
54,1970,3694683794,2.08 %,75192215.0,25.0
55,1969,3619491579,2.10 %,74304328.0,24.0
56,1968,3545187251,2.07 %,71774371.0,24.0
57,1967,3473412880,2.04 %,69371755.0,23.0
58,1966,3404041125,2.08 %,69507422.0,23.0
59,1965,3334533703,2.15 %,70046364.0,22.0
60,1964,3264487339,2.25 %,71679511.0,22.0
61,1963,3192807828,2.22 %,69433513.0,21.0
62,1962,3123374315,1.91 %,58504640.0,21.0
63,1961,3064869675,1.64 %,49398781.0,21.0
64,1960,3015470894,1.67 %,49520543.0,20.0
65,1959,2965950351,1.88 %,54700680.0,20.0
66,1958,2911249671,2.06 %,58631334.0,20.0
67,1957,2852618337,2.05 %,57208343.0,19.0
68,1956,2795409994,2.01 %,55196202.0,19.0
69,1955,2740213792,2.02 %,54318932.0,18.0
70,1954,2685894860,1.97 %,51788625.0,18.0
71,1953,2634106235,1.94 %,50019896.0,18.0
72,1952,2584086339,1.86 %,47159304.0,17.0
73,1927,2000000000,,,
74,1900,1600000000,,,
75,1850,1200000000,,,
76,1804,1000000000,,,
77,1760,770000000,,,
78,1700,610000000,,,
79,1600,500000000,,,
80,1500,450000000,,,
81,1400,350000000,,,
82,1200,360000000,,,
83,1100,320000000,,,
84,1000,275000000,,,
85,900,240000000,,,
86,800,220000000,,,
87,700,210000000,,,
88,600,200000000,,,
89,200,190000000,,,
90,-200,150000000,,,
91,-500,100000000,,,
92,-1000,50000000,,,
93,-2000,27000000,,,
94,-3000,14000000,,,
95,-4000,7000000,,,
96,-5000,5000000,,,
